t_s,n_m,e_m,alt_m,yaw_deg
0.0034968999680131674,0.0,0.0,0.0,0.0
0.10948920017108321,0.0,0.0,0.0,0.0
0.2134889999870211,0.0,0.0,0.0,0.0
0.3180184999946505,0.0,0.0,0.0,0.0
0.4224658999592066,0.0,0.0,0.0,0.0
0.5597012999933213,0.0,0.0,0.002,0.0
0.6943082001525909,0.0,0.0,0.039,0.0
0.8277133000083268,0.0,0.0,0.136,0.0
1.1698609001468867,0.0,0.0,0.898,0.0
1.2976258001290262,0.0,0.0,1.151,0.0
1.3994488001335412,0.0,0.0,1.458,0.0
1.5039928001351655,0.0,0.0,1.797,0.0
1.6051193000748754,0.0,0.0,2.084,0.0
1.7191398001741618,0.0,0.0,2.302,0.0
1.8425062000751495,0.0,0.0,2.55,0.0
1.9440222000703216,0.0,0.0,2.886,0.0
2.0542107000947,0.0,0.0,3.174,0.0
2.1596767001319677,0.0,0.0,3.483,0.0
2.2689889001194388,0.0,0.0,3.867,0.0
2.3901146999560297,0.0,0.0,4.232,0.0
2.8255080999806523,0.0,0.0,6.393,0.0
2.9398994999937713,0.0,0.0,6.827,0.0
3.05227080010809,0.0,0.0,7.338,0.0
3.165820100111887,0.0,0.0,7.893,0.0
3.2738646001089364,0.0,0.0,8.445,0.0
3.3912498001009226,0.0,0.0,8.982,0.0
3.5084778999444097,0.0,0.0,9.542,0.0
3.75751919997856,0.0,0.0,11.204,0.0
3.8885453001130372,0.0,0.0,11.826,0.0
4.018919400172308,0.0,0.0,12.445,0.0
4.148193300003186,0.0,0.0,13.1,0.0
4.283893800107762,0.0,0.0,14.383,0.0
4.387035200139508,0.0,0.0,15.004,0.0
4.5010147001594305,-0.0,-0.0,15.669,0.0
4.607496000127867,-0.001,-0.0,16.302,0.24
4.719083399977535,-0.015,-0.002,16.938,-0.4
4.8449002001434565,-0.063,-0.016,17.515,-12.74
4.945777100045234,-0.195,-0.069,18.081,-55.16
5.10641590016894,-0.51,-0.202,18.606,-18.35
5.255430000135675,-0.616,-0.214,18.713,-10.58
5.40215460001491,-0.766,-0.237,18.752,-57.3
5.544204900041223,-1.101,-0.302,18.489,-23.51
5.646887100068852,-1.266,-0.334,18.201,-31.1
5.750018500024453,-1.422,-0.364,17.84,-61.98
5.879110800102353,-1.615,-0.401,17.263,-0.09
5.994310799986124,-1.781,-0.433,16.651,-43.31
6.098386900033802,-1.943,-0.465,15.941,-92.14
6.218199199996889,-2.111,-0.497,15.093,36.78
6.693089900072664,-2.863,-0.642,9.759,-179.32
6.796131100039929,-3.007,-0.67,8.444,99.22
6.897575299954042,-3.137,-0.695,7.177,149.77
7.004117300035432,-3.308,-0.728,5.377,163.52
7.107585099991411,-3.457,-0.757,3.68,129.25
7.223826700123027,-3.586,-0.782,2.125,138.82
7.334185400046408,-3.738,-0.812,0.185,152.67
7.457520600175485,-3.871,-0.837,0.0,155.49
7.560850800015032,-4.001,-0.862,0.0,155.49
7.664488800102845,-4.131,-0.888,0.0,155.49
7.76586339995265,-4.277,-0.916,0.0,155.49
8.09284140006639,-4.671,-0.992,0.0,155.49
8.319590100087225,-5.051,-1.065,0.0,155.49
8.42405669996515,-5.177,-1.09,0.0,155.49
8.528373399982229,-5.297,-1.113,0.0,155.49
8.641476500080898,-5.416,-1.136,0.0,155.49
8.754494199994951,-5.538,-1.16,0.0,155.49
8.866578000131994,-5.658,-1.183,0.0,155.49
8.981519400142133,-5.776,-1.206,0.0,155.49
9.087479300098494,-5.897,-1.229,0.0,155.49
9.453261899994686,-6.345,-1.316,0.0,155.49
9.57765270001255,-6.458,-1.337,0.0,155.49
9.715369299985468,-6.566,-1.358,0.0,155.49
9.848935900023207,-6.794,-1.402,0.0,155.49
9.966102099977434,-6.904,-1.424,0.0,155.49
10.075177300022915,-7.007,-1.444,0.0,155.49
10.194072500104085,-7.111,-1.464,0.0,155.49
10.298285000026226,-7.216,-1.484,0.0,155.49
10.417681999970227,-7.319,-1.504,0.0,155.49
10.52932420000434,-7.419,-1.523,0.0,155.49
10.632492900127545,-7.526,-1.544,0.0,155.49
10.740811000112444,-7.642,-1.566,0.0,155.49
10.865206900052726,-7.735,-1.584,0.0,155.49
11.09684900008142,-7.941,-1.624,0.0,155.49
11.19838870014064,-8.042,-1.644,0.0,155.49
11.301767600001767,-8.144,-1.663,0.0,155.49
11.4125963000115,-8.243,-1.682,0.0,155.49
11.532977800117806,-8.434,-1.719,0.0,155.49
11.645156900165603,-8.515,-1.735,0.0,155.49
11.759972100146115,-8.61,-1.753,0.0,155.49
11.877045399975032,-8.697,-1.77,0.0,155.49
11.990203300025314,-8.783,-1.787,0.0,155.49
12.100657999981195,-8.872,-1.804,0.0,155.49
12.208563199965283,-8.959,-1.821,0.0,155.49
12.314151300117373,-9.048,-1.838,0.0,155.49
12.416377800051123,-9.131,-1.854,0.0,155.49
12.534271500073373,-9.216,-1.871,0.0,155.49
12.651918899966404,-9.298,-1.886,0.0,155.49
12.763515900122002,-9.38,-1.902,0.0,155.49
12.975099900038913,-9.624,-1.949,0.0,155.49
13.111317300004885,-9.704,-1.965,0.0,155.49
13.23722210014239,-9.779,-1.979,0.0,155.49
