mono_t,phase,rel_alt_m,distance_m,h_err_deg,yaw_aligned,pitch_us,throttle_us,target
1175838.623,X_LEG_1,14.31,21.45,-43.67,0,1500,1643,NE
1175838.644,X_LEG_1,14.31,21.45,-43.67,0,1500,1643,NE
1175838.664,X_LEG_1,14.31,21.45,-43.67,0,1500,1643,NE
1175838.685,X_LEG_1,14.31,21.45,-43.67,0,1500,1643,NE
1175838.705,X_LEG_1,14.31,21.45,-43.67,0,1500,1643,NE
1175838.726,X_LEG_1,14.45,21.45,-43.67,0,1500,1642,NE
1175838.746,X_LEG_1,14.45,21.45,-43.67,0,1500,1642,NE
1175838.767,X_LEG_1,14.45,21.45,-43.67,0,1500,1642,NE
1175838.787,X_LEG_1,14.45,21.45,-43.67,0,1500,1642,NE
1175838.808,X_LEG_1,14.45,21.45,-43.67,0,1500,1642,NE
1175838.828,X_LEG_1,14.59,21.45,-43.67,0,1500,1642,NE
1175838.849,X_LEG_1,14.59,21.45,-43.67,0,1500,1642,NE
1175838.869,X_LEG_1,14.59,21.45,-43.67,0,1500,1642,NE
1175838.890,X_LEG_1,14.59,21.45,-43.67,0,1500,1642,NE
1175838.910,X_LEG_1,14.59,21.45,-43.67,0,1500,1642,NE
1175838.931,X_LEG_1,14.72,21.45,-43.67,0,1500,1641,NE
1175838.951,X_LEG_1,14.72,21.45,-43.67,0,1500,1641,NE
1175838.971,X_LEG_1,14.72,21.45,-43.67,0,1500,1641,NE
1175838.992,X_LEG_1,14.72,21.45,-43.67,0,1500,1641,NE
1175839.012,X_LEG_1,14.72,21.45,-43.67,0,1500,1641,NE
1175839.032,X_LEG_1,14.86,21.45,-43.67,0,1500,1641,NE
1175839.053,X_LEG_1,14.86,21.45,-43.67,0,1500,1641,NE
1175839.073,X_LEG_1,14.86,21.45,-43.67,0,1500,1641,NE
1175839.094,X_LEG_1,14.86,21.45,-43.67,0,1500,1641,NE
1175839.115,X_LEG_1,14.86,21.45,-43.67,0,1500,1641,NE
1175839.136,X_LEG_1,15.01,21.45,-43.67,0,1500,1641,NE
1175839.156,X_LEG_1,15.01,21.45,-43.67,0,1500,1641,NE
1175839.176,X_LEG_1,15.01,21.45,-43.67,0,1500,1641,NE
1175839.197,X_LEG_1,15.01,21.45,-43.67,0,1500,1641,NE
1175839.218,X_LEG_1,15.01,21.45,-43.67,0,1500,1641,NE
1175839.238,X_LEG_1,15.01,21.45,-43.67,0,1500,1641,NE
1175839.259,X_LEG_1,15.01,21.45,-43.67,0,1500,1641,NE
1175839.279,X_LEG_1,15.01,21.45,-43.67,0,1500,1641,NE
1175839.300,X_LEG_1,15.01,21.45,-43.67,0,1500,1641,NE
1175839.320,X_LEG_1,15.01,21.45,-43.67,0,1500,1641,NE
1175839.341,X_LEG_1,15.15,21.45,-30.67,0,1500,1641,NE
1175839.361,X_LEG_1,15.15,21.45,-30.67,0,1500,1641,NE
1175839.382,X_LEG_1,15.15,21.45,-30.67,0,1500,1641,NE
1175839.402,X_LEG_1,15.15,21.45,-30.67,0,1500,1641,NE
1175839.423,X_LEG_1,15.15,21.45,-30.67,0,1500,1641,NE
1175839.443,X_LEG_1,15.29,21.45,-30.67,0,1500,1641,NE
1175839.464,X_LEG_1,15.29,21.45,-30.67,0,1500,1641,NE
1175839.484,X_LEG_1,15.29,21.45,-30.67,0,1500,1641,NE
1175839.505,X_LEG_1,15.29,21.45,-30.67,0,1500,1641,NE
1175839.525,X_LEG_1,15.29,21.45,-30.67,0,1500,1641,NE
1175839.546,X_LEG_1,15.50,21.45,-30.67,0,1500,1640,NE
1175839.566,X_LEG_1,15.50,21.45,-30.67,0,1500,1640,NE
1175839.588,X_LEG_1,15.50,21.45,-30.67,0,1500,1640,NE
1175839.608,X_LEG_1,15.50,21.45,-30.67,0,1500,1640,NE
1175839.628,X_LEG_1,15.50,21.45,-30.67,0,1500,1640,NE
1175839.649,X_LEG_1,15.65,21.45,-30.67,0,1500,1640,NE
1175839.669,X_LEG_1,15.65,21.45,-30.67,0,1500,1640,NE
1175839.690,X_LEG_1,15.65,21.45,-30.67,0,1500,1640,NE
1175839.710,X_LEG_1,15.65,21.45,-30.67,0,1500,1640,NE
1175839.731,X_LEG_1,15.65,21.45,-30.67,0,1500,1640,NE
1175839.751,X_LEG_1,15.79,21.45,-14.67,1,1586,1639,NE
1175839.772,X_LEG_1,15.79,21.45,-14.67,1,1586,1639,NE
1175839.793,X_LEG_1,15.79,21.45,-14.67,1,1586,1639,NE
1175839.814,X_LEG_1,15.79,21.45,-14.67,1,1586,1639,NE
1175839.835,X_LEG_1,15.79,21.45,-14.67,1,1586,1639,NE
1175839.855,X_LEG_1,15.79,21.45,-14.67,1,1586,1639,NE
1175839.875,X_LEG_1,15.79,21.45,-14.67,1,1586,1639,NE
1175839.896,X_LEG_1,15.79,21.45,-14.67,1,1586,1639,NE
1175839.916,X_LEG_1,15.79,21.45,-14.67,1,1586,1639,NE
1175839.937,X_LEG_1,15.79,21.45,-14.67,1,1586,1639,NE
1175839.957,X_LEG_1,15.93,21.45,-14.66,1,1586,1639,NE
1175839.978,X_LEG_1,15.93,21.45,-14.66,1,1586,1639,NE
1175839.998,X_LEG_1,15.93,21.45,-14.66,1,1586,1639,NE
1175840.019,X_LEG_1,15.93,21.45,-14.66,1,1586,1639,NE
1175840.039,X_LEG_1,15.93,21.45,-14.66,1,1586,1639,NE
1175840.059,X_LEG_1,16.08,21.45,-14.66,1,1586,1638,NE
1175840.080,X_LEG_1,16.08,21.45,-14.66,1,1586,1638,NE
1175840.100,X_LEG_1,16.08,21.45,-14.66,1,1586,1638,NE
1175840.121,X_LEG_1,16.08,21.45,-14.66,1,1586,1638,NE
1175840.141,X_LEG_1,16.08,21.45,-14.66,1,1586,1638,NE
1175840.162,X_LEG_1,16.23,21.45,-14.66,1,1586,1638,NE
1175840.182,X_LEG_1,16.23,21.45,-14.66,1,1586,1638,NE
1175840.203,X_LEG_1,16.23,21.45,-14.66,1,1586,1638,NE
1175840.223,X_LEG_1,16.23,21.45,-14.66,1,1586,1638,NE
1175840.244,X_LEG_1,16.23,21.45,-14.66,1,1586,1638,NE
1175840.264,X_LEG_1,16.37,21.45,-14.67,1,1586,1637,NE
1175840.285,X_LEG_1,16.37,21.45,-14.67,1,1586,1637,NE
1175840.305,X_LEG_1,16.37,21.45,-14.67,1,1586,1637,NE
