t_s,n_m,e_m,alt_m,yaw_deg
0.0024482000153511763,-1.218,-15.94,-0.228,96.72
0.10913050011731684,-1.218,-15.94,-0.228,96.73
0.2231712001375854,-1.218,-15.94,-0.228,96.79
0.3455402001272887,-1.218,-15.94,-0.228,96.8
0.4702300000935793,-1.219,-15.939,-0.228,96.84
0.6727625001221895,-1.221,-15.927,-0.226,96.33
0.7741149000357836,-1.223,-15.903,-0.224,94.24
0.9006535999942571,-1.217,-15.873,-0.22,89.47
1.0273370000068098,-1.212,-15.85,-0.207,85.35
1.2289680000394583,-1.204,-15.819,-0.196,81.56
1.3732390000950545,-1.197,-15.787,-0.186,77.86
1.506760000018403,-1.19,-15.754,-0.175,75.8
1.7420491999946535,-1.184,-15.72,-0.164,75.46
1.9511661999858916,-1.18,-15.686,-0.15,76.83
2.0551408000756055,-1.177,-15.669,-0.142,78.09
2.157528700074181,-1.175,-15.652,-0.135,79.51
2.3710429000202566,-1.172,-15.618,-0.118,82.44
2.5039785001426935,-1.168,-15.584,-0.1,84.68
2.7081144000403583,-1.165,-15.549,-0.08,85.44
2.8354718000628054,-1.163,-15.515,-0.057,84.57
2.977063399972394,-1.16,-15.48,-0.033,82.53
3.182683400111273,-1.157,-15.446,-0.009,80.11
3.3057423001155257,-1.155,-15.411,0.017,78.11
3.432376200100407,-1.153,-15.377,0.045,77.14
3.557533900020644,-1.151,-15.343,0.075,77.45
3.761485000140965,-1.149,-15.309,0.107,78.74
3.8629376001190394,-1.148,-15.276,0.139,80.43
3.966939900070429,-1.146,-15.243,0.172,81.89
4.068081600125879,-1.145,-15.21,0.206,82.76
4.1816684999503195,-1.143,-15.178,0.241,82.79
4.308674999978393,-1.142,-15.145,0.278,82.08
4.432684300001711,-1.14,-15.112,0.315,80.9
4.556804799940437,-1.139,-15.08,0.353,79.81
4.684753600042313,-1.138,-15.047,0.392,79.12
4.804737400030717,-1.136,-15.015,0.432,79.05
4.928503199946135,-1.135,-14.983,0.473,79.46
5.069358299952,-1.134,-14.951,0.515,80.22
5.193397399969399,-1.132,-14.92,0.557,80.96
5.423022700008005,-1.131,-14.889,0.601,81.51
5.548409000039101,-1.13,-14.858,0.645,81.62
5.6583378000650555,-1.129,-14.828,0.69,81.37
5.779995900113136,-1.128,-14.797,0.735,80.79
5.9009374000597745,-1.127,-14.767,0.782,80.22
6.1033408001530915,-1.125,-14.721,0.853,79.49
6.225824899971485,-1.124,-14.677,0.925,79.19
6.348104600096121,-1.123,-14.647,0.974,79.27
6.474236400099471,-1.121,-14.603,1.049,79.6
6.592261899961159,-1.12,-14.575,1.1,79.93
6.699408600106835,-1.119,-14.532,1.178,80.38
6.902390700066462,-1.118,-14.49,1.257,80.63
7.0077670000027865,-1.116,-14.448,1.338,80.63
7.108785999938846,-1.115,-14.42,1.393,80.56
7.321176799945533,-1.114,-14.379,1.476,80.32
7.427321300143376,-1.113,-14.338,1.56,80.06
7.551449700025842,-1.112,-14.297,1.646,79.9
7.753544500097632,-1.111,-14.257,1.734,79.88
7.856050600064918,-1.11,-14.231,1.793,79.89
7.957301300019026,-1.109,-14.191,1.883,80.0
8.062828599940985,-1.109,-14.165,1.944,80.11
8.171663300134242,-1.108,-14.139,2.005,80.17
8.376314900116995,-1.107,-14.101,2.098,80.28
8.483647800050676,-1.107,-14.075,2.162,80.3
8.591340499930084,-1.106,-14.05,2.225,80.31
8.700863900128752,-1.106,-14.025,2.289,80.27
8.80732939997688,-1.105,-13.999,2.354,80.24
8.913806300144643,-1.105,-13.975,2.42,80.17
9.020939900074154,-1.105,-13.95,2.486,80.13
9.12682759994641,-1.104,-13.925,2.553,80.09
9.232810700079426,-1.104,-13.901,2.621,80.09
9.339314700104296,-1.104,-13.876,2.689,80.08
9.44636800000444,-1.103,-13.852,2.758,80.09
9.552576499991119,-1.103,-13.828,2.827,80.12
9.659307500114664,-1.103,-13.804,2.897,80.15
9.76756910001859,-1.103,-13.78,2.968,80.19
9.881651400122792,-1.102,-13.757,3.04,80.22
9.986526099964976,-1.102,-13.733,3.112,80.24
10.305984300095588,-1.102,-13.675,3.295,80.22
10.415834400104359,-1.102,-13.652,3.369,80.15
10.524720200104639,-1.102,-13.63,3.444,80.14
10.633867399999872,-1.102,-13.607,3.52,80.09
10.739735099952668,-1.101,-13.584,3.596,80.09
10.84802299994044,-1.101,-13.562,3.673,80.06
10.952532100025564,-1.103,-13.539,3.742,80.13
11.077596999937668,-1.103,-13.505,3.826,77.79
11.200514200143516,-1.102,-13.487,3.869,73.7
11.32755560008809,-1.098,-13.473,3.904,68.01
11.455299600027502,-1.089,-13.463,3.932,63.06
11.61928110010922,-1.072,-13.456,3.954,59.88
11.75440700002946,-1.053,-13.451,3.963,56.7
11.892442499985918,-1.048,-13.45,3.968,54.55
12.055188300088048,-1.043,-13.45,3.97,51.22
12.161689799977466,-1.034,-13.449,3.971,42.97
12.291836699936539,-1.028,-13.448,3.969,29.8
