t_s,n_m,e_m,alt_m,yaw_deg
0.0013304001186043024,-0.001,-0.002,-0.248,0.11
0.10278650000691414,-0.001,-0.002,-0.248,0.11
0.20733170001767576,-0.001,-0.002,-0.248,0.11
0.4105907001066953,-0.001,-0.002,-0.248,0.11
0.5144154001027346,-0.001,-0.002,-0.248,0.11
0.6382341999560595,-0.002,-0.002,-0.245,0.06
0.7574765000026673,-0.002,-0.004,-0.239,0.08
0.9611277000512928,-0.002,-0.005,-0.231,0.06
1.0641558000352234,-0.002,-0.007,-0.222,0.12
1.1856704000383615,-0.002,-0.009,-0.21,0.11
1.3089733999222517,-0.002,-0.011,-0.195,0.16
1.4325689000543207,-0.002,-0.014,-0.179,0.13
1.6342311999760568,-0.002,-0.016,-0.16,0.16
1.7586680001113564,-0.002,-0.018,-0.14,0.1
1.9114000999834388,-0.002,-0.02,-0.117,0.12
2.0542961000464857,-0.002,-0.023,-0.092,0.06
2.1800585999153554,-0.002,-0.025,-0.064,0.11
2.381669699912891,-0.002,-0.028,-0.035,0.07
2.50658189994283,-0.002,-0.03,-0.003,0.13
2.640715900110081,-0.002,-0.033,0.031,0.09
2.7945630000904202,-0.002,-0.036,0.067,0.14
2.8989900001324713,-0.003,-0.038,0.105,0.1
3.0029379001352936,-0.003,-0.041,0.146,0.17
3.2375843999907374,-0.003,-0.044,0.188,0.12
3.346022899961099,-0.003,-0.046,0.233,0.17
3.499255199916661,-0.003,-0.049,0.28,0.12
3.7018327000550926,-0.003,-0.051,0.328,0.16
3.8433769999537617,-0.003,-0.054,0.379,0.1
4.051292899996042,-0.003,-0.057,0.433,0.14
4.190172400092706,-0.003,-0.059,0.488,0.08
4.315917799947783,-0.003,-0.062,0.545,0.12
4.560143300099298,-0.003,-0.064,0.605,0.08
4.689483399968594,-0.003,-0.067,0.666,0.12
4.793117000022903,-0.003,-0.069,0.73,0.1
4.997634399915114,-0.003,-0.072,0.795,0.15
5.128759199986234,-0.003,-0.074,0.863,0.15
5.270313499961048,-0.003,-0.077,0.932,0.2
5.472505700075999,-0.003,-0.079,1.004,0.17
5.573590799933299,-0.003,-0.081,1.078,0.18
5.674339100020006,-0.003,-0.084,1.154,0.15
5.775635400088504,-0.003,-0.086,1.232,0.16
5.9006304000504315,-0.003,-0.088,1.311,0.14
6.0221456999424845,-0.003,-0.09,1.393,0.15
6.225135700078681,-0.003,-0.093,1.477,0.14
6.375888700131327,-0.003,-0.095,1.563,0.15
6.500803000060841,-0.003,-0.097,1.65,0.14
6.611154899932444,-0.003,-0.099,1.74,0.15
6.837421200005338,-0.003,-0.101,1.832,0.18
6.984459100058302,-0.003,-0.103,1.925,0.2
7.091058399993926,-0.003,-0.104,1.973,0.18
7.2950029000639915,-0.003,-0.106,2.069,0.25
7.413555199978873,-0.003,-0.108,2.168,0.2
7.540070299990475,-0.003,-0.11,2.268,0.24
7.741644500056282,-0.003,-0.112,2.37,0.17
7.875584600027651,-0.003,-0.114,2.474,0.21
7.981855999911204,-0.003,-0.115,2.527,0.17
8.104742200113833,-0.003,-0.117,2.634,0.19
8.235340300016105,-0.003,-0.119,2.742,0.17
8.357579000061378,-0.002,-0.121,2.853,0.2
8.476593300001696,-0.002,-0.123,2.964,0.18
8.595347800059244,-0.002,-0.125,3.078,0.22
8.796905800001696,-0.002,-0.127,3.193,0.2
8.898299799999222,-0.002,-0.128,3.31,0.24
9.000580500112846,-0.002,-0.13,3.428,0.2
9.118917300133035,-0.002,-0.132,3.548,0.24
9.239590700017288,-0.002,-0.134,3.669,0.19
9.360090400092304,-0.002,-0.135,3.793,0.23
9.498106200015172,-0.002,-0.137,3.917,0.18
9.60451740003191,-0.002,-0.139,4.044,0.23
9.705758000025526,-0.002,-0.14,4.171,0.19
9.917163900099695,-0.002,-0.142,4.301,0.25
10.019080400001258,-0.002,-0.144,4.431,0.22
10.12332020001486,-0.001,-0.145,4.564,0.28
10.225395699962974,-0.001,-0.147,4.698,0.23
10.34674710012041,-0.001,-0.148,4.833,0.27
10.467488599941134,-0.001,-0.15,4.969,0.21
10.58635040000081,-0.001,-0.151,5.108,0.25
10.80524060013704,-0.001,-0.153,5.318,0.23
10.929990299977362,-0.001,-0.155,5.459,0.22
11.046608200063929,-0.001,-0.156,5.602,0.24
11.152226000092924,-0.0,-0.158,5.747,0.24
11.253658599918708,-0.0,-0.159,5.892,0.27
11.354293999960646,-0.0,-0.161,6.04,0.26
11.459925499977544,0.0,-0.162,6.188,0.27
11.582657200051472,0.0,-0.163,6.338,0.24
11.703932400094345,0.0,-0.165,6.488,0.27
11.906335900072008,0.001,-0.166,6.639,0.24
12.008057900005952,0.001,-0.167,6.792,0.29
12.128492099931464,0.001,-0.168,6.945,0.26
12.330220500007272,0.001,-0.17,7.09,0.24
12.431615100009367,0.001,-0.171,7.226,0.23
12.553084700135514,0.001,-0.172,7.351,0.21
12.670620399992913,0.001,-0.173,7.466,0.2
12.794754999922588,0.001,-0.174,7.571,0.18
12.915672400034964,0.001,-0.176,7.667,0.17
13.019709300016984,0.001,-0.177,7.752,0.16
13.149726399919018,0.001,-0.178,7.827,0.14
13.372983300127089,0.002,-0.179,7.892,0.13
13.60012389998883,0.002,-0.18,7.947,0.11
13.710083200130612,0.002,-0.181,7.971,0.11
13.811339900130406,0.002,-0.182,8.011,0.09
13.938158200122416,0.002,-0.183,8.041,0.08
14.065899200038984,0.002,-0.184,8.06,0.06
14.26804230012931,0.002,-0.185,8.07,0.05
14.400310300057754,0.002,-0.186,8.07,0.04
14.526156400097534,0.002,-0.187,8.06,0.02
14.631974800024182,0.002,-0.188,8.039,0.01
14.73484140005894,0.002,-0.189,8.009,-0.01
14.845994899980724,0.002,-0.19,7.969,-0.02
15.078540900023654,0.002,-0.191,7.918,-0.03
15.180155500071123,0.002,-0.192,7.858,-0.05
15.281207200139761,0.002,-0.193,7.788,-0.06
15.410762900020927,0.002,-0.194,7.707,-0.07
15.53520720009692,0.003,-0.195,7.617,-0.08
15.737012899946421,0.003,-0.196,7.517,-0.09
15.8647066000849,0.003,-0.197,7.407,-0.1
16.01696559996344,0.003,-0.198,7.292,-0.1
16.132170400116593,0.003,-0.199,7.178,-0.2
16.270407099975273,0.003,-0.2,7.061,-0.18
16.401127299992368,0.003,-0.201,6.941,-0.19
16.60373600013554,0.003,-0.203,6.822,-0.14
16.724508400075138,0.003,-0.204,6.704,-0.12
16.853100100066513,0.003,-0.205,6.587,-0.07
16.968103100080043,0.002,-0.206,6.47,-0.08
17.074379099998623,0.002,-0.207,6.354,-0.07
17.1829212999437,0.002,-0.208,6.239,-0.11
17.30260429996997,0.002,-0.209,6.125,-0.12
17.504602200118825,0.002,-0.21,6.011,-0.16
17.60571309993975,0.001,-0.211,5.898,-0.14
17.707134200027213,0.001,-0.212,5.786,-0.15
17.807751700049266,0.001,-0.213,5.675,-0.11
17.90901970001869,0.001,-0.214,5.565,-0.11
18.010663100052625,0.0,-0.215,5.455,-0.08
18.221663400065154,0.0,-0.216,5.347,-0.1
18.322902099927887,-0.0,-0.217,5.239,-0.09
18.427373900078237,-0.0,-0.218,5.133,-0.12
18.528974400134757,-0.001,-0.219,5.028,-0.11
18.63140990003012,-0.001,-0.22,4.924,-0.13
18.738928300095722,-0.001,-0.221,4.821,-0.12
18.859783000079915,-0.001,-0.222,4.719,-0.14
19.062318600015715,-0.002,-0.223,4.619,-0.12
19.18767370004207,-0.002,-0.224,4.52,-0.13
19.38949430012144,-0.002,-0.224,4.421,-0.12
19.490745899965987,-0.002,-0.225,4.324,-0.12
19.592065799981356,-0.003,-0.226,4.229,-0.11
19.693401800002903,-0.003,-0.227,4.134,-0.11
19.794877500040457,-0.003,-0.228,4.041,-0.1
19.913767399964854,-0.003,-0.229,3.949,-0.1
20.033288599923253,-0.003,-0.23,3.858,-0.1
20.15561469993554,-0.004,-0.231,3.769,-0.1
20.281032799975947,-0.004,-0.231,3.681,-0.1
20.396652200026438,-0.004,-0.232,3.594,-0.1
20.498831700067967,-0.004,-0.233,3.508,-0.11
20.707977999933064,-0.005,-0.234,3.424,-0.12
20.81488099996932,-0.005,-0.235,3.341,-0.12
20.92238299991004,-0.005,-0.235,3.259,-0.13
21.02786929998547,-0.005,-0.236,3.179,-0.13
21.15119590004906,-0.005,-0.237,3.1,-0.12
21.3536696000956,-0.006,-0.238,3.022,-0.12
21.454615599941462,-0.006,-0.239,2.946,-0.1
21.57142210006714,-0.006,-0.239,2.872,-0.1
21.69734439998865,-0.006,-0.24,2.799,-0.09
21.90541040012613,-0.006,-0.241,2.728,-0.1
22.03980050003156,-0.007,-0.242,2.658,-0.08
22.25384550006129,-0.007,-0.242,2.589,-0.09
22.380227399989963,-0.007,-0.243,2.523,-0.08
22.505074199987575,-0.007,-0.244,2.457,-0.1
